Disease Name,Bad Ingredients,Safe Nutrients,Bad Nutrients,Bad Nutrients Safe Limits (mg/g)
Coronary Artery Disease,"trans fats, red meat, sugary foods","Vitamin C, Antioxidants, Potassium",Fat,Fat: 100 g
Polycystic Ovary Syndrome - Stage 3,"red meat, fried food, sugar","Antioxidants, Magnesium, Omega-3","Sugar, Saturated Fat","Sugar: 36 g, Saturated Fat: 20 g"
Migraine,"red meat, fried food, sugar",Magnesium,"Calories, Fat, Sugar, Saturated Fat","Calories: 800 kcal, Fat: 100 g, Sugar: 36 g, Saturated Fat: 20 g"
Hypothyroidism,"red meat, fried food, sugar","Potassium, Antioxidants","Calories, Sodium, Cholesterol","Calories: 800 kcal, Sodium: 2300 mg, Cholesterol: 300 mg"
Irritable Bowel Syndrome,"red meat, fried food, sugar",Magnesium,Sugar,Sugar: 36 g
Hypertension - Stage 1,"salt, pickles, canned soup, bacon",Omega-3,"Sugar, Calories, Carbohydrates","Sugar: 36 g, Calories: 800 kcal, Carbohydrates: 100 g"
Atherosclerosis,"red meat, fried food, sugar","Vitamin C, Potassium","Saturated Fat, Alcohol","Saturated Fat: 20 g, Alcohol: 100 g"
Fatty Liver Disease - Stage 3,"alcohol, fried foods, red meat",Omega-3,"Alcohol, Carbohydrates","Alcohol: 100 g, Carbohydrates: 100 g"
Polycystic Ovary Syndrome,"red meat, fried food, sugar","Antioxidants, Fiber","Caffeine, Fat, Saturated Fat, Sugar","Caffeine: 100 mg, Fat: 100 g, Saturated Fat: 20 g, Sugar: 36 g"
Hyperlipidemia,"red meat, fried food, sugar","Antioxidants, Omega-3, Vitamin C","Fat, Alcohol","Fat: 100 g, Alcohol: 100 g"
Fatty Liver Disease,"alcohol, fried foods, red meat","Fiber, Potassium, Antioxidants","Caffeine, Sodium, Alcohol","Caffeine: 100 mg, Sodium: 2300 mg, Alcohol: 100 g"
GERD,"red meat, fried food, sugar",Omega-3,Alcohol,Alcohol: 100 g
Prediabetes,"sugar, white rice, soda, sweets","Magnesium, Vitamin C, Omega-3",Caffeine,Caffeine: 100 mg
Type 2 Diabetes - Stage 1,"sugar, white rice, soda, sweets","Antioxidants, Magnesium","Saturated Fat, Cholesterol, Alcohol, Caffeine","Saturated Fat: 20 g, Cholesterol: 300 mg, Alcohol: 100 g, Caffeine: 100 mg"
Hypertension - Stage 3,"salt, pickles, canned soup, bacon","Magnesium, Potassium, Fiber","Sodium, Fat, Saturated Fat, Caffeine","Sodium: 2300 mg, Fat: 100 g, Saturated Fat: 20 g, Caffeine: 100 mg"
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods",Potassium,"Carbohydrates, Caffeine, Alcohol, Cholesterol","Carbohydrates: 100 g, Caffeine: 100 mg, Alcohol: 100 g, Cholesterol: 300 mg"
Heart Failure - Stage 1,"trans fats, red meat, sugary foods","Antioxidants, Magnesium, Vitamin C",Saturated Fat,Saturated Fat: 20 g
GERD,"red meat, fried food, sugar",Potassium,Sugar,Sugar: 36 g
Fatty Liver Disease - Stage 2,"alcohol, fried foods, red meat","Magnesium, Fiber, Antioxidants","Alcohol, Sodium, Fat, Sugar","Alcohol: 100 g, Sodium: 2300 mg, Fat: 100 g, Sugar: 36 g"
Type 2 Diabetes,"sugar, white rice, soda, sweets","Fiber, Vitamin C, Omega-3","Saturated Fat, Calories, Sugar","Saturated Fat: 20 g, Calories: 800 kcal, Sugar: 36 g"
Fatty Liver Disease,"alcohol, fried foods, red meat",Magnesium,Saturated Fat,Saturated Fat: 20 g
Heart Failure,"trans fats, red meat, sugary foods",Fiber,"Cholesterol, Sodium","Cholesterol: 300 mg, Sodium: 2300 mg"
Hypothyroidism - Stage 2,"red meat, fried food, sugar","Vitamin C, Potassium, Antioxidants","Sugar, Sodium, Fat","Sugar: 36 g, Sodium: 2300 mg, Fat: 100 g"
Polycystic Ovary Syndrome - Stage 1,"red meat, fried food, sugar","Omega-3, Magnesium, Fiber","Fat, Cholesterol","Fat: 100 g, Cholesterol: 300 mg"
Fatty Liver Disease,"alcohol, fried foods, red meat","Magnesium, Antioxidants, Vitamin C","Fat, Cholesterol, Caffeine, Calories","Fat: 100 g, Cholesterol: 300 mg, Caffeine: 100 mg, Calories: 800 kcal"
Atherosclerosis,"red meat, fried food, sugar",Omega-3,"Fat, Carbohydrates","Fat: 100 g, Carbohydrates: 100 g"
Gout,"mutton, chicken, alcohol, organ meats","Antioxidants, Potassium","Calories, Carbohydrates, Caffeine","Calories: 800 kcal, Carbohydrates: 100 g, Caffeine: 100 mg"
Atherosclerosis - Stage 2,"red meat, fried food, sugar",Antioxidants,"Alcohol, Sugar, Saturated Fat","Alcohol: 100 g, Sugar: 36 g, Saturated Fat: 20 g"
Coronary Artery Disease - Stage 3,"trans fats, red meat, sugary foods","Omega-3, Vitamin C, Potassium","Sodium, Alcohol","Sodium: 2300 mg, Alcohol: 100 g"
Hypothyroidism - Stage 1,"red meat, fried food, sugar",Vitamin C,"Sodium, Alcohol","Sodium: 2300 mg, Alcohol: 100 g"
Celiac Disease,"wheat, barley, rye","Magnesium, Omega-3","Cholesterol, Carbohydrates, Calories, Caffeine","Cholesterol: 300 mg, Carbohydrates: 100 g, Calories: 800 kcal, Caffeine: 100 mg"
Obesity,"junk food, soda, sweets, fried items","Omega-3, Vitamin C, Magnesium","Sodium, Saturated Fat","Sodium: 2300 mg, Saturated Fat: 20 g"
Irritable Bowel Syndrome - Stage 2,"red meat, fried food, sugar",Fiber,"Sodium, Calories, Alcohol, Saturated Fat","Sodium: 2300 mg, Calories: 800 kcal, Alcohol: 100 g, Saturated Fat: 20 g"
Atherosclerosis,"red meat, fried food, sugar","Antioxidants, Omega-3, Fiber","Sugar, Fat, Carbohydrates, Saturated Fat","Sugar: 36 g, Fat: 100 g, Carbohydrates: 100 g, Saturated Fat: 20 g"
Heart Failure,"trans fats, red meat, sugary foods","Antioxidants, Fiber, Vitamin C",Sodium,Sodium: 2300 mg
Sleep Apnea,"red meat, fried food, sugar","Potassium, Magnesium, Antioxidants","Sugar, Sodium, Caffeine","Sugar: 36 g, Sodium: 2300 mg, Caffeine: 100 mg"
Atherosclerosis - Stage 1,"red meat, fried food, sugar","Magnesium, Fiber, Omega-3","Carbohydrates, Saturated Fat, Caffeine","Carbohydrates: 100 g, Saturated Fat: 20 g, Caffeine: 100 mg"
Sleep Apnea - Stage 2,"red meat, fried food, sugar","Antioxidants, Potassium, Omega-3",Alcohol,Alcohol: 100 g
Polycystic Ovary Syndrome,"red meat, fried food, sugar",Vitamin C,"Fat, Carbohydrates, Calories","Fat: 100 g, Carbohydrates: 100 g, Calories: 800 kcal"
Polycystic Ovary Syndrome - Stage 1,"red meat, fried food, sugar","Fiber, Omega-3, Magnesium","Cholesterol, Sodium, Calories","Cholesterol: 300 mg, Sodium: 2300 mg, Calories: 800 kcal"
Liver Cirrhosis,"alcohol, fried foods, red meat","Omega-3, Magnesium","Alcohol, Caffeine, Saturated Fat","Alcohol: 100 g, Caffeine: 100 mg, Saturated Fat: 20 g"
Type 2 Diabetes - Stage 2,"sugar, white rice, soda, sweets","Vitamin C, Fiber, Potassium","Fat, Alcohol","Fat: 100 g, Alcohol: 100 g"
Metabolic Syndrome,"red meat, fried food, sugar","Omega-3, Magnesium, Vitamin C","Fat, Sugar","Fat: 100 g, Sugar: 36 g"
Irritable Bowel Syndrome,"red meat, fried food, sugar","Antioxidants, Omega-3, Magnesium","Cholesterol, Carbohydrates, Sodium","Cholesterol: 300 mg, Carbohydrates: 100 g, Sodium: 2300 mg"
Hypertension - Stage 2,"salt, pickles, canned soup, bacon",Magnesium,"Fat, Sugar, Alcohol","Fat: 100 g, Sugar: 36 g, Alcohol: 100 g"
Sleep Apnea,"red meat, fried food, sugar","Fiber, Magnesium, Potassium",Carbohydrates,Carbohydrates: 100 g
Heart Failure - Stage 3,"trans fats, red meat, sugary foods",Antioxidants,"Cholesterol, Caffeine, Fat","Cholesterol: 300 mg, Caffeine: 100 mg, Fat: 100 g"
Liver Cirrhosis - Stage 2,"alcohol, fried foods, red meat","Vitamin C, Magnesium, Antioxidants","Carbohydrates, Caffeine, Calories, Cholesterol","Carbohydrates: 100 g, Caffeine: 100 mg, Calories: 800 kcal, Cholesterol: 300 mg"
Type 2 Diabetes - Stage 2,"sugar, white rice, soda, sweets",Fiber,"Saturated Fat, Carbohydrates, Caffeine","Saturated Fat: 20 g, Carbohydrates: 100 g, Caffeine: 100 mg"
Coronary Artery Disease,"trans fats, red meat, sugary foods","Antioxidants, Omega-3, Potassium",Fat,Fat: 100 g
Polycystic Ovary Syndrome - Stage 1,"red meat, fried food, sugar",Potassium,"Carbohydrates, Alcohol, Caffeine","Carbohydrates: 100 g, Alcohol: 100 g, Caffeine: 100 mg"
Irritable Bowel Syndrome,"red meat, fried food, sugar","Potassium, Antioxidants","Sugar, Carbohydrates, Cholesterol, Alcohol","Sugar: 36 g, Carbohydrates: 100 g, Cholesterol: 300 mg, Alcohol: 100 g"
Coronary Artery Disease,"trans fats, red meat, sugary foods","Omega-3, Potassium, Vitamin C","Saturated Fat, Sodium, Fat","Saturated Fat: 20 g, Sodium: 2300 mg, Fat: 100 g"
Hypothyroidism - Stage 1,"red meat, fried food, sugar",Potassium,Cholesterol,Cholesterol: 300 mg
GERD,"red meat, fried food, sugar","Omega-3, Potassium",Caffeine,Caffeine: 100 mg
Obesity,"junk food, soda, sweets, fried items","Vitamin C, Fiber","Caffeine, Calories","Caffeine: 100 mg, Calories: 800 kcal"
Atherosclerosis - Stage 3,"red meat, fried food, sugar","Omega-3, Magnesium",Cholesterol,Cholesterol: 300 mg
Obesity - Stage 2,"junk food, soda, sweets, fried items","Fiber, Vitamin C",Sugar,Sugar: 36 g
Fatty Liver Disease,"alcohol, fried foods, red meat","Magnesium, Omega-3","Sugar, Sodium, Calories, Fat","Sugar: 36 g, Sodium: 2300 mg, Calories: 800 kcal, Fat: 100 g"
Coronary Artery Disease,"trans fats, red meat, sugary foods","Magnesium, Antioxidants, Fiber","Sugar, Fat","Sugar: 36 g, Fat: 100 g"
Hypertension - Stage 1,"salt, pickles, canned soup, bacon",Potassium,"Sodium, Cholesterol, Alcohol","Sodium: 2300 mg, Cholesterol: 300 mg, Alcohol: 100 g"
Metabolic Syndrome,"red meat, fried food, sugar","Omega-3, Potassium, Antioxidants","Carbohydrates, Cholesterol","Carbohydrates: 100 g, Cholesterol: 300 mg"
Metabolic Syndrome,"red meat, fried food, sugar","Vitamin C, Antioxidants","Saturated Fat, Calories, Caffeine","Saturated Fat: 20 g, Calories: 800 kcal, Caffeine: 100 mg"
Hypothyroidism,"red meat, fried food, sugar",Antioxidants,Calories,Calories: 800 kcal
Migraine - Stage 2,"red meat, fried food, sugar",Omega-3,"Sugar, Calories","Sugar: 36 g, Calories: 800 kcal"
Chronic Kidney Disease - Stage 1,"red meat, sodium, potassium-rich foods","Fiber, Potassium",Carbohydrates,Carbohydrates: 100 g
Atherosclerosis,"red meat, fried food, sugar",Antioxidants,Cholesterol,Cholesterol: 300 mg
Hypertension,"salt, pickles, canned soup, bacon","Magnesium, Potassium",Sodium,Sodium: 2300 mg
Hypertension,"salt, pickles, canned soup, bacon","Antioxidants, Omega-3",Sugar,Sugar: 36 g
Hypothyroidism,"red meat, fried food, sugar","Fiber, Potassium","Sugar, Calories","Sugar: 36 g, Calories: 800 kcal"
Obesity - Stage 3,"junk food, soda, sweets, fried items","Fiber, Antioxidants","Calories, Carbohydrates","Calories: 800 kcal, Carbohydrates: 100 g"
Atherosclerosis - Stage 3,"red meat, fried food, sugar","Vitamin C, Omega-3","Carbohydrates, Sodium, Sugar, Calories","Carbohydrates: 100 g, Sodium: 2300 mg, Sugar: 36 g, Calories: 800 kcal"
Celiac Disease - Stage 1,"wheat, barley, rye","Antioxidants, Potassium, Vitamin C",Alcohol,Alcohol: 100 g
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods",Vitamin C,Fat,Fat: 100 g
Prediabetes,"sugar, white rice, soda, sweets","Magnesium, Omega-3","Calories, Alcohol, Fat","Calories: 800 kcal, Alcohol: 100 g, Fat: 100 g"
Liver Cirrhosis - Stage 3,"alcohol, fried foods, red meat",Potassium,"Cholesterol, Sugar, Caffeine, Saturated Fat","Cholesterol: 300 mg, Sugar: 36 g, Caffeine: 100 mg, Saturated Fat: 20 g"
Fatty Liver Disease,"alcohol, fried foods, red meat","Potassium, Magnesium",Calories,Calories: 800 kcal
Metabolic Syndrome - Stage 2,"red meat, fried food, sugar",Omega-3,"Alcohol, Fat, Cholesterol, Calories","Alcohol: 100 g, Fat: 100 g, Cholesterol: 300 mg, Calories: 800 kcal"
Heart Failure - Stage 1,"trans fats, red meat, sugary foods",Omega-3,Caffeine,Caffeine: 100 mg
Prediabetes,"sugar, white rice, soda, sweets","Antioxidants, Omega-3",Carbohydrates,Carbohydrates: 100 g
Fatty Liver Disease,"alcohol, fried foods, red meat",Fiber,"Calories, Saturated Fat, Fat, Caffeine","Calories: 800 kcal, Saturated Fat: 20 g, Fat: 100 g, Caffeine: 100 mg"
Obesity - Stage 1,"junk food, soda, sweets, fried items",Fiber,"Sugar, Saturated Fat, Alcohol, Fat","Sugar: 36 g, Saturated Fat: 20 g, Alcohol: 100 g, Fat: 100 g"
Heart Failure,"trans fats, red meat, sugary foods","Magnesium, Fiber, Vitamin C","Cholesterol, Calories","Cholesterol: 300 mg, Calories: 800 kcal"
Gout - Stage 1,"mutton, chicken, alcohol, organ meats","Antioxidants, Vitamin C","Saturated Fat, Sugar, Fat","Saturated Fat: 20 g, Sugar: 36 g, Fat: 100 g"
GERD,"red meat, fried food, sugar",Potassium,"Sodium, Alcohol","Sodium: 2300 mg, Alcohol: 100 g"
Gout,"mutton, chicken, alcohol, organ meats","Omega-3, Vitamin C","Alcohol, Calories, Fat","Alcohol: 100 g, Calories: 800 kcal, Fat: 100 g"
Liver Cirrhosis - Stage 2,"alcohol, fried foods, red meat",Fiber,"Carbohydrates, Sodium, Saturated Fat","Carbohydrates: 100 g, Sodium: 2300 mg, Saturated Fat: 20 g"
Fatty Liver Disease - Stage 1,"alcohol, fried foods, red meat","Potassium, Vitamin C","Saturated Fat, Cholesterol, Alcohol","Saturated Fat: 20 g, Cholesterol: 300 mg, Alcohol: 100 g"
Coronary Artery Disease - Stage 1,"trans fats, red meat, sugary foods",Potassium,"Sodium, Saturated Fat","Sodium: 2300 mg, Saturated Fat: 20 g"
GERD - Stage 2,"red meat, fried food, sugar","Antioxidants, Vitamin C, Magnesium","Alcohol, Calories, Saturated Fat","Alcohol: 100 g, Calories: 800 kcal, Saturated Fat: 20 g"
Migraine - Stage 3,"red meat, fried food, sugar","Potassium, Omega-3","Cholesterol, Calories, Sugar, Saturated Fat","Cholesterol: 300 mg, Calories: 800 kcal, Sugar: 36 g, Saturated Fat: 20 g"
Hyperlipidemia,"red meat, fried food, sugar",Potassium,"Sodium, Cholesterol, Fat","Sodium: 2300 mg, Cholesterol: 300 mg, Fat: 100 g"
Metabolic Syndrome,"red meat, fried food, sugar","Magnesium, Vitamin C, Antioxidants","Saturated Fat, Caffeine, Cholesterol","Saturated Fat: 20 g, Caffeine: 100 mg, Cholesterol: 300 mg"
Liver Cirrhosis - Stage 2,"alcohol, fried foods, red meat","Potassium, Omega-3","Sodium, Caffeine","Sodium: 2300 mg, Caffeine: 100 mg"
Atherosclerosis,"red meat, fried food, sugar",Antioxidants,"Saturated Fat, Calories, Sodium, Cholesterol","Saturated Fat: 20 g, Calories: 800 kcal, Sodium: 2300 mg, Cholesterol: 300 mg"
Gout,"mutton, chicken, alcohol, organ meats",Magnesium,Alcohol,Alcohol: 100 g
Fatty Liver Disease,"alcohol, fried foods, red meat","Vitamin C, Omega-3","Saturated Fat, Carbohydrates, Alcohol, Fat","Saturated Fat: 20 g, Carbohydrates: 100 g, Alcohol: 100 g, Fat: 100 g"
Chronic Kidney Disease - Stage 1,"red meat, sodium, potassium-rich foods","Omega-3, Vitamin C, Fiber","Sodium, Sugar, Calories, Saturated Fat","Sodium: 2300 mg, Sugar: 36 g, Calories: 800 kcal, Saturated Fat: 20 g"
Liver Cirrhosis - Stage 2,"alcohol, fried foods, red meat","Vitamin C, Omega-3","Saturated Fat, Sugar, Cholesterol, Carbohydrates","Saturated Fat: 20 g, Sugar: 36 g, Cholesterol: 300 mg, Carbohydrates: 100 g"
Atherosclerosis - Stage 1,"red meat, fried food, sugar","Antioxidants, Omega-3",Fat,Fat: 100 g
Prediabetes - Stage 2,"sugar, white rice, soda, sweets","Antioxidants, Fiber, Magnesium","Sugar, Sodium, Cholesterol, Saturated Fat","Sugar: 36 g, Sodium: 2300 mg, Cholesterol: 300 mg, Saturated Fat: 20 g"
Liver Cirrhosis,"alcohol, fried foods, red meat",Vitamin C,Sodium,Sodium: 2300 mg
Irritable Bowel Syndrome,"red meat, fried food, sugar",Magnesium,"Carbohydrates, Cholesterol, Alcohol","Carbohydrates: 100 g, Cholesterol: 300 mg, Alcohol: 100 g"
Hyperlipidemia,"red meat, fried food, sugar",Magnesium,Sugar,Sugar: 36 g
Celiac Disease,"wheat, barley, rye","Vitamin C, Omega-3, Antioxidants",Sugar,Sugar: 36 g
GERD - Stage 1,"red meat, fried food, sugar",Magnesium,"Alcohol, Calories, Sodium, Carbohydrates","Alcohol: 100 g, Calories: 800 kcal, Sodium: 2300 mg, Carbohydrates: 100 g"
Celiac Disease,"wheat, barley, rye","Omega-3, Antioxidants, Magnesium",Cholesterol,Cholesterol: 300 mg
Hypertension - Stage 1,"salt, pickles, canned soup, bacon",Potassium,Carbohydrates,Carbohydrates: 100 g
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods",Fiber,"Carbohydrates, Caffeine, Saturated Fat, Alcohol","Carbohydrates: 100 g, Caffeine: 100 mg, Saturated Fat: 20 g, Alcohol: 100 g"
Irritable Bowel Syndrome,"red meat, fried food, sugar",Antioxidants,"Cholesterol, Fat, Saturated Fat, Alcohol","Cholesterol: 300 mg, Fat: 100 g, Saturated Fat: 20 g, Alcohol: 100 g"
Liver Cirrhosis,"alcohol, fried foods, red meat",Fiber,"Sodium, Carbohydrates, Caffeine, Alcohol","Sodium: 2300 mg, Carbohydrates: 100 g, Caffeine: 100 mg, Alcohol: 100 g"
Hyperlipidemia - Stage 1,"red meat, fried food, sugar","Omega-3, Magnesium","Cholesterol, Fat, Carbohydrates","Cholesterol: 300 mg, Fat: 100 g, Carbohydrates: 100 g"
Coronary Artery Disease,"trans fats, red meat, sugary foods","Vitamin C, Antioxidants",Cholesterol,Cholesterol: 300 mg
Coronary Artery Disease - Stage 3,"trans fats, red meat, sugary foods","Fiber, Vitamin C","Carbohydrates, Caffeine","Carbohydrates: 100 g, Caffeine: 100 mg"
Liver Cirrhosis,"alcohol, fried foods, red meat","Fiber, Magnesium, Antioxidants",Carbohydrates,Carbohydrates: 100 g
Gout,"mutton, chicken, alcohol, organ meats",Omega-3,"Saturated Fat, Calories, Caffeine","Saturated Fat: 20 g, Calories: 800 kcal, Caffeine: 100 mg"
Metabolic Syndrome,"red meat, fried food, sugar","Antioxidants, Magnesium","Carbohydrates, Sugar, Caffeine","Carbohydrates: 100 g, Sugar: 36 g, Caffeine: 100 mg"
Heart Failure,"trans fats, red meat, sugary foods",Omega-3,"Saturated Fat, Sugar, Carbohydrates","Saturated Fat: 20 g, Sugar: 36 g, Carbohydrates: 100 g"
Migraine - Stage 2,"red meat, fried food, sugar",Antioxidants,"Alcohol, Caffeine","Alcohol: 100 g, Caffeine: 100 mg"
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods","Antioxidants, Potassium, Magnesium","Sodium, Sugar, Carbohydrates","Sodium: 2300 mg, Sugar: 36 g, Carbohydrates: 100 g"
Prediabetes,"sugar, white rice, soda, sweets","Fiber, Omega-3","Alcohol, Sodium, Sugar, Calories","Alcohol: 100 g, Sodium: 2300 mg, Sugar: 36 g, Calories: 800 kcal"
Heart Failure - Stage 2,"trans fats, red meat, sugary foods",Potassium,"Alcohol, Caffeine, Cholesterol","Alcohol: 100 g, Caffeine: 100 mg, Cholesterol: 300 mg"
Atherosclerosis - Stage 1,"red meat, fried food, sugar","Fiber, Magnesium","Alcohol, Fat, Caffeine","Alcohol: 100 g, Fat: 100 g, Caffeine: 100 mg"
GERD - Stage 1,"red meat, fried food, sugar","Magnesium, Antioxidants, Fiber","Sugar, Sodium, Carbohydrates","Sugar: 36 g, Sodium: 2300 mg, Carbohydrates: 100 g"
Hypothyroidism - Stage 1,"red meat, fried food, sugar","Omega-3, Antioxidants, Magnesium",Caffeine,Caffeine: 100 mg
Celiac Disease,"wheat, barley, rye",Antioxidants,Cholesterol,Cholesterol: 300 mg
Hypertension,"salt, pickles, canned soup, bacon","Vitamin C, Antioxidants","Calories, Caffeine, Alcohol","Calories: 800 kcal, Caffeine: 100 mg, Alcohol: 100 g"
Hypothyroidism,"red meat, fried food, sugar","Potassium, Vitamin C","Alcohol, Sodium, Fat","Alcohol: 100 g, Sodium: 2300 mg, Fat: 100 g"
Coronary Artery Disease - Stage 2,"trans fats, red meat, sugary foods","Vitamin C, Omega-3, Antioxidants",Cholesterol,Cholesterol: 300 mg
Fatty Liver Disease,"alcohol, fried foods, red meat","Potassium, Fiber","Sugar, Calories, Alcohol","Sugar: 36 g, Calories: 800 kcal, Alcohol: 100 g"
Chronic Kidney Disease - Stage 2,"red meat, sodium, potassium-rich foods","Antioxidants, Omega-3","Alcohol, Fat","Alcohol: 100 g, Fat: 100 g"
Coronary Artery Disease,"trans fats, red meat, sugary foods",Fiber,"Alcohol, Fat","Alcohol: 100 g, Fat: 100 g"
Obesity,"junk food, soda, sweets, fried items","Magnesium, Antioxidants","Alcohol, Carbohydrates, Caffeine","Alcohol: 100 g, Carbohydrates: 100 g, Caffeine: 100 mg"
Hypothyroidism - Stage 3,"red meat, fried food, sugar","Omega-3, Magnesium, Vitamin C","Saturated Fat, Calories, Cholesterol","Saturated Fat: 20 g, Calories: 800 kcal, Cholesterol: 300 mg"
Chronic Kidney Disease,"red meat, sodium, potassium-rich foods","Omega-3, Fiber",Sodium,Sodium: 2300 mg
Irritable Bowel Syndrome - Stage 1,"red meat, fried food, sugar",Potassium,"Carbohydrates, Sodium, Alcohol, Saturated Fat","Carbohydrates: 100 g, Sodium: 2300 mg, Alcohol: 100 g, Saturated Fat: 20 g"
Hypothyroidism - Stage 2,"red meat, fried food, sugar","Vitamin C, Antioxidants","Saturated Fat, Sugar, Cholesterol","Saturated Fat: 20 g, Sugar: 36 g, Cholesterol: 300 mg"
Fatty Liver Disease - Stage 1,"alcohol, fried foods, red meat",Magnesium,Alcohol,Alcohol: 100 g
Hypothyroidism - Stage 1,"red meat, fried food, sugar",Vitamin C,"Saturated Fat, Sugar","Saturated Fat: 20 g, Sugar: 36 g"
Hypothyroidism,"red meat, fried food, sugar",Antioxidants,"Carbohydrates, Fat, Sugar","Carbohydrates: 100 g, Fat: 100 g, Sugar: 36 g"
Hypertension - Stage 3,"salt, pickles, canned soup, bacon","Fiber, Antioxidants",Sugar,Sugar: 36 g
Polycystic Ovary Syndrome,"red meat, fried food, sugar",Magnesium,"Caffeine, Cholesterol, Calories","Caffeine: 100 mg, Cholesterol: 300 mg, Calories: 800 kcal"
Heart Failure,"trans fats, red meat, sugary foods","Vitamin C, Antioxidants, Omega-3","Calories, Sugar, Cholesterol, Saturated Fat","Calories: 800 kcal, Sugar: 36 g, Cholesterol: 300 mg, Saturated Fat: 20 g"
Hypertension,"salt, pickles, canned soup, bacon","Potassium, Magnesium, Antioxidants","Alcohol, Carbohydrates","Alcohol: 100 g, Carbohydrates: 100 g"
Fatty Liver Disease,"alcohol, fried foods, red meat","Fiber, Antioxidants","Caffeine, Alcohol","Caffeine: 100 mg, Alcohol: 100 g"
Heart Failure,"trans fats, red meat, sugary foods",Potassium,"Alcohol, Caffeine","Alcohol: 100 g, Caffeine: 100 mg"
Gout - Stage 2,"mutton, chicken, alcohol, organ meats",Omega-3,Alcohol,Alcohol: 100 g
Sleep Apnea,"red meat, fried food, sugar","Magnesium, Vitamin C, Omega-3","Saturated Fat, Calories, Sodium","Saturated Fat: 20 g, Calories: 800 kcal, Sodium: 2300 mg"
Celiac Disease - Stage 3,"wheat, barley, rye","Antioxidants, Omega-3",Alcohol,Alcohol: 100 g
Celiac Disease - Stage 1,"wheat, barley, rye","Antioxidants, Magnesium, Omega-3","Sugar, Calories","Sugar: 36 g, Calories: 800 kcal"
Heart Failure - Stage 1,"trans fats, red meat, sugary foods","Vitamin C, Magnesium",Fat,Fat: 100 g
GERD,"red meat, fried food, sugar","Omega-3, Vitamin C","Caffeine, Sodium, Alcohol, Saturated Fat","Caffeine: 100 mg, Sodium: 2300 mg, Alcohol: 100 g, Saturated Fat: 20 g"
Liver Cirrhosis,"alcohol, fried foods, red meat","Fiber, Magnesium, Vitamin C","Calories, Carbohydrates, Sodium","Calories: 800 kcal, Carbohydrates: 100 g, Sodium: 2300 mg"
Celiac Disease,"wheat, barley, rye",Antioxidants,"Caffeine, Fat, Carbohydrates, Saturated Fat","Caffeine: 100 mg, Fat: 100 g, Carbohydrates: 100 g, Saturated Fat: 20 g"
Coronary Artery Disease - Stage 1,"trans fats, red meat, sugary foods","Magnesium, Antioxidants","Sodium, Cholesterol, Fat","Sodium: 2300 mg, Cholesterol: 300 mg, Fat: 100 g"
Hypothyroidism,"red meat, fried food, sugar","Fiber, Potassium, Vitamin C","Saturated Fat, Sodium, Sugar","Saturated Fat: 20 g, Sodium: 2300 mg, Sugar: 36 g"
Type 2 Diabetes - Stage 1,"sugar, white rice, soda, sweets",Vitamin C,"Cholesterol, Carbohydrates","Cholesterol: 300 mg, Carbohydrates: 100 g"
Hyperlipidemia - Stage 1,"red meat, fried food, sugar","Magnesium, Potassium","Carbohydrates, Sodium, Fat, Calories","Carbohydrates: 100 g, Sodium: 2300 mg, Fat: 100 g, Calories: 800 kcal"
Hypertension - Stage 3,"salt, pickles, canned soup, bacon","Potassium, Magnesium","Sugar, Saturated Fat, Calories, Sodium","Sugar: 36 g, Saturated Fat: 20 g, Calories: 800 kcal, Sodium: 2300 mg"
Fatty Liver Disease - Stage 1,"alcohol, fried foods, red meat","Omega-3, Vitamin C, Antioxidants","Alcohol, Carbohydrates","Alcohol: 100 g, Carbohydrates: 100 g"
Liver Cirrhosis - Stage 2,"alcohol, fried foods, red meat","Vitamin C, Potassium, Fiber","Saturated Fat, Alcohol, Sodium","Saturated Fat: 20 g, Alcohol: 100 g, Sodium: 2300 mg"
Gout - Stage 2,"mutton, chicken, alcohol, organ meats","Fiber, Potassium, Vitamin C",Cholesterol,Cholesterol: 300 mg
Heart Failure,"trans fats, red meat, sugary foods",Antioxidants,"Alcohol, Saturated Fat","Alcohol: 100 g, Saturated Fat: 20 g"
Prediabetes,"sugar, white rice, soda, sweets",Antioxidants,"Saturated Fat, Cholesterol, Carbohydrates, Sodium","Saturated Fat: 20 g, Cholesterol: 300 mg, Carbohydrates: 100 g, Sodium: 2300 mg"
Liver Cirrhosis,"alcohol, fried foods, red meat","Antioxidants, Potassium, Magnesium","Sodium, Carbohydrates","Sodium: 2300 mg, Carbohydrates: 100 g"
Migraine,"red meat, fried food, sugar","Omega-3, Magnesium, Antioxidants",Alcohol,Alcohol: 100 g
Atherosclerosis,"red meat, fried food, sugar","Potassium, Magnesium, Antioxidants","Fat, Saturated Fat, Caffeine","Fat: 100 g, Saturated Fat: 20 g, Caffeine: 100 mg"
Atherosclerosis,"red meat, fried food, sugar","Vitamin C, Antioxidants, Fiber",Carbohydrates,Carbohydrates: 100 g
